Date,Open,High,Low,Close,Adj Close,Volume,Trading Days
2019/1/22,27189.40039,27223.69922,26854.66016,27005.44922,27005.44922,1578449700,2237
2019/1/23,26879.91016,27131.2207,26879.91016,27008.19922,27008.19922,1381999400,2238
2019/1/24,27075.36914,27120.98047,26889.78906,27120.98047,27120.98047,1323732100,2239
2019/1/25,27282.88086,27569.18945,27217.75,27569.18945,27569.18945,2264965800,2240
2019/1/28,27695.81055,27790.2207,27462.36914,27576.96094,27576.96094,1705146300,2241
2019/1/29,27397.53906,27575.36914,27328.16992,27531.67969,27531.67969,1821838000,2242
2019/1/30,27571.41016,27642.84961,27369.75,27642.84961,27642.84961,1821894600,2243
2019/1/31,27842.05078,28010.90039,27773.98047,27942.4707,27942.4707,2225282600,2244
2019/2/1,28193.2793,28193.2793,27802.5,27930.74023,27930.74023,1669716900,2245
2019/2/4,27985.41992,28005.15039,27847.42969,27990.21094,27990.21094,808061300,2246
2019/2/8,27708.13086,28008.82031,27534.19922,27946.32031,27946.32031,1527669600,2247
2019/2/11,27927.44922,28143.83984,27847.84961,28143.83984,28143.83984,1384082500,2248
2019/2/12,28093.31055,28219.58984,27983.48047,28171.33008,28171.33008,1492521500,2249
2019/2/13,28184.86914,28533.35938,28160.46094,28497.58984,28497.58984,1930777700,2250
2019/2/14,28396.40039,28476.65039,28275.17969,28432.05078,28432.05078,1433724900,2251
2019/2/15,28241.43945,28256.68945,27845.86914,27900.83984,27900.83984,1781495400,2252
2019/2/18,28186.75,28412.08008,28186.75,28347.00977,28347.00977,1549943500,2253
2019/2/19,28440.49023,28488.9707,28208.86914,28228.13086,28228.13086,1653127000,2254
2019/2/20,28404.67969,28599.76953,28357.30078,28514.05078,28514.05078,1928707100,2255
2019/2/21,28450,28759.34961,28364.84961,28629.91992,28629.91992,1814520300,2256
2019/2/22,28478.96094,28816.30078,28430.19922,28816.30078,28816.30078,1706490600,2257
2019/2/25,28975.51953,29009.98047,28763.46094,28959.30078,28959.30078,3517972400,2258
2019/2/26,28971.23047,28971.23047,28700.00977,28772.06055,28772.06055,2758187900,2259
2019/2/27,28833.16016,29014.18945,28701.4707,28757.43945,28757.43945,2378404200,2260
2019/2/28,28719.71094,28917.49023,28571.13086,28633.17969,28633.17969,2086693500,2261
2019/3/1,28716.59961,28860.19922,28663.71094,28812.16992,28812.16992,1927040400,2262
2019/3/4,28855.10938,29241.80078,28760.66992,28959.58984,28959.58984,2682948700,2263
2019/3/5,28823.16016,29025.78906,28734.81055,28961.59961,28961.59961,1951621500,2264
2019/3/6,29003.25,29122.81055,28938.39063,29037.59961,29037.59961,1794494900,2265
2019/3/7,28965.41992,29007.07031,28772.44922,28779.44922,28779.44922,1691993300,2266
2019/3/8,28409.14063,28533.75977,28201.08984,28228.41992,28228.41992,2998999600,2267
2019/3/11,28265.84961,28512.26953,28240.7793,28503.30078,28503.30078,1525534800,2268
2019/3/12,28920.86914,28920.86914,28920.86914,28920.86914,28920.86914,0,2269
2019/3/13,28924.2793,28924.2793,28690.36914,28807.44922,28807.44922,1183090900,2270
2019/3/14,28891.06055,28932.4707,28696.31055,28851.39063,28851.39063,1390223200,2271
2019/3/15,28843.85938,29204.73047,28828.25977,29012.25977,29012.25977,1974569100,2272
2019/3/18,29112.43945,29409.00977,29034.13086,29409.00977,29409.00977,1887811300,2273
2019/3/19,29419.14063,29486.15039,29319.50977,29466.2793,29466.2793,1747657200,2274
2019/3/20,29357.18945,29435.81055,29251.25,29320.9707,29320.9707,1580528500,2275
2019/3/21,29387.75,29446.76953,29051.84961,29071.56055,29071.56055,1750672700,2276
2019/3/22,29173.33008,29243.09961,28847.33984,29113.35938,29113.35938,1740699100,2277
2019/3/25,28501.36914,28702.24023,28463.10938,28523.34961,28523.34961,2091121900,2278
2019/3/26,28677.75977,28701.59961,28435.06055,28566.91016,28566.91016,1406624800,2279
2019/3/27,28564.71094,28781.63086,28551.65039,28728.25,28728.25,1475536600,2280
2019/3/28,28663.19922,28816.58984,28558.80078,28775.21094,28775.21094,1582079600,2281
2019/3/29,28812.64063,29100.68945,28761.88086,29051.35938,29051.35938,2695223000,2282
2019/4/1,29383.7207,29612.36914,29383.7207,29562.01953,29562.01953,2475412300,2283
2019/4/2,29736.99023,29736.99023,29534.41992,29624.66992,29624.66992,1858466500,2284
2019/4/3,29785.26953,29999.33984,29715.76953,29986.39063,29986.39063,2019434600,2285
2019/4/4,29950.41992,30050.91016,29765.55078,29936.32031,29936.32031,1854467500,2286
2019/4/8,30119.58008,30185.06055,29913.61914,30077.15039,30077.15039,2321011600,2287
2019/4/9,30065.99023,30222.01953,30018.98047,30157.49023,30157.49023,2049354000,2288
2019/4/10,30052.26953,30139.60938,29892.61914,30119.56055,30119.56055,1814064400,2289
2019/4/11,30138.14063,30184.60938,29783.66992,29839.44922,29839.44922,1897154200,2290
2019/4/12,29806.34961,29909.75977,29694.84961,29909.75977,29909.75977,1560692000,2291
2019/4/15,30119.84961,30280.11914,29810.7207,29810.7207,29810.7207,2010638200,2292
2019/4/16,29754.30078,30142.85938,29665.10938,30129.86914,30129.86914,2546181500,2293
2019/4/17,30160.68945,30178.58008,30004.9707,30124.67969,30124.67969,2035147300,2294
2019/4/18,30088.65039,30101.83008,29896.85938,29963.25977,29963.25977,1569930600,2295
2019/4/23,29782.94922,30055.93945,29755.86914,29963.24023,29963.24023,2006226400,2296
2019/4/24,30112.18945,30112.18945,29682.86914,29805.83008,29805.83008,1748986700,2297
2019/4/25,29667.51953,29849.69922,29535.19922,29549.80078,29549.80078,1644483200,2298
2019/4/26,29513.08008,29672.78906,29504.14063,29605.00977,29605.00977,1411001700,2299
2019/4/29,29730.84961,29917.10938,29639.38086,29892.81055,29892.81055,1250717200,2300
2019/4/30,29828.15039,29855.75977,29620.44922,29699.10938,29699.10938,1359023200,2301
2019/5/2,29643.05078,29967.74023,29643.05078,29944.17969,29944.17969,1298906600,2302
2019/5/3,29818.48047,30081.55078,29678.85938,30081.55078,30081.55078,1217388500,2303
2019/5/6,29342.38086,29384.00977,28956.4707,29209.82031,29209.82031,2934065800,2304
2019/5/7,29313.58008,29480.03906,29156.44922,29363.01953,29363.01953,1997665400,2305
2019/5/8,28987.08984,29252,28945.91016,29003.19922,29003.19922,2182802000,2306
2019/5/9,28839.34961,28891.10938,28281.98047,28311.07031,28311.07031,2907223700,2307
2019/5/10,28462.33984,28833.44922,28203.2207,28550.24023,28550.24023,2421480000,2308
2019/5/14,27951.11914,28205.96094,27925.61914,28122.01953,28122.01953,2875261200,2309
2019/5/15,28171.32031,28441.49023,28171.32031,28268.71094,28268.71094,2244890100,2310
2019/5/16,28117.48047,28379.36914,28050.7793,28275.07031,28275.07031,2372367500,2311
2019/5/17,28428,28428,27909.73047,27946.46094,27946.46094,1922181900,2312
2019/5/20,27959.23047,27999.59961,27699.23047,27787.60938,27787.60938,2260468500,2313
2019/5/21,27671.40039,27915.16016,27598.06055,27657.24023,27657.24023,2229189200,2314
2019/5/22,27753.53906,27828.81055,27640.61914,27705.93945,27705.93945,1705803400,2315
2019/5/23,27505.5293,27523.85938,27169.66992,27267.13086,27267.13086,2219416000,2316
2019/5/24,27368.67969,27457.58984,27291.93945,27353.92969,27353.92969,1677043500,2317
2019/5/27,27239.08008,27371.34961,27105.2207,27288.08984,27288.08984,1264256500,2318
2019/5/28,27274.83008,27490.55078,27230.08984,27390.81055,27390.81055,3043711500,2319
2019/5/29,27226.94922,27429.36914,27178.71094,27235.71094,27235.71094,2236869000,2320
2019/5/30,27319.25,27319.25,27020.73047,27114.88086,27114.88086,1884022200,2321
2019/5/31,27002.96094,27155.35938,26850.26953,26901.08984,26901.08984,1829465900,2322
2019/6/3,26909.71094,26968.09961,26735.48047,26893.85938,26893.85938,1716241600,2323
2019/6/4,26994.08008,26994.08008,26671.90039,26761.51953,26761.51953,1527666000,2324
2019/6/5,27116.08008,27119.48047,26803.66016,26895.43945,26895.43945,1894174900,2325
2019/6/6,26935.86914,26984.01953,26837.66992,26965.2793,26965.2793,1601926500,2326
2019/6/10,27206.60938,27606.41992,27155.0293,27578.64063,27578.64063,2272329600,2327
2019/6/11,27677.06055,27857.84961,27577.91016,27789.33984,27789.33984,1824700000,2328
2019/6/12,27603.11914,27603.11914,27222.0293,27308.46094,27308.46094,1866884200,2329
2019/6/13,27217.7207,27294.71094,26825.34961,27294.71094,27294.71094,1846303100,2330
2019/6/14,27180.74023,27275.88086,27051.75,27118.34961,27118.34961,2031083500,2331
2019/6/17,27252.44922,27503.09961,27227.16016,27227.16016,27227.16016,1487266700,2332
2019/6/18,27289.69922,27584.11914,27201.01953,27498.76953,27498.76953,1550614700,2333
2019/6/19,28224.86914,28224.86914,28022.49023,28202.14063,28202.14063,2076060300,2334
2019/6/20,28308.84961,28563.08008,28258.01953,28550.42969,28550.42969,1820185000,2335
2019/6/21,28581.50977,28581.50977,28359.25,28473.71094,28473.71094,2171897300,2336
2019/6/24,28400.63086,28634.48047,28358.06055,28513,28513,1338833200,2337
2019/6/25,28447.96094,28470.09961,28066.13086,28185.98047,28185.98047,1851984100,2338
2019/6/26,28046.16016,28267.98047,27985.98047,28221.98047,28221.98047,1431402200,2339
2019/6/27,28352.93945,28621.41992,28287.33984,28621.41992,28621.41992,1679897500,2340
2019/6/28,28632.58984,28632.58984,28416.96094,28542.61914,28542.61914,1486688000,2341
2019/7/2,28904.03906,28959.06055,28768.53906,28875.56055,28875.56055,2110432700,2342
2019/7/3,28781.9707,28891.89063,28721.21094,28855.14063,28855.14063,1291301500,2343
2019/7/4,28891.9707,29007.98047,28776.48047,28795.76953,28795.76953,928449700,2344
2019/7/5,28785.5293,28880.58008,28714.91992,28774.83008,28774.83008,846919500,2345
2019/7/8,28513.14063,28541.09961,28194.07031,28331.68945,28331.68945,1250874300,2346
2019/7/9,28299.73047,28312.9707,28080.73047,28116.2793,28116.2793,1218475000,2347
2019/7/10,28245.08984,28311.7793,28144.86914,28204.68945,28204.68945,1013012100,2348
2019/7/11,28347.85938,28582.68945,28347.85938,28431.80078,28431.80078,1067070900,2349
2019/7/12,28401.86914,28603.86914,28399.66016,28471.61914,28471.61914,1204492700,2350
2019/7/15,28303.35938,28567.25,28071.18945,28554.88086,28554.88086,1317116400,2351
2019/7/16,28583.92969,28634.65039,28489.41016,28619.61914,28619.61914,1024681900,2352
2019/7/17,28463.76953,28593.16992,28377.33984,28593.16992,28593.16992,950441100,2353
2019/7/18,28393.03906,28511.65039,28376.5,28461.66016,28461.66016,925037300,2354
2019/7/19,28585.15039,28809.58984,28551.19922,28765.40039,28765.40039,1261012300,2355
2019/7/22,28612.2793,28649.43945,28303.55078,28371.25977,28371.25977,1104886500,2356
2019/7/23,28392.03906,28489.28906,28313.78906,28466.48047,28466.48047,950029300,2357
2019/7/24,28578.14063,28764.5,28515.91992,28524.03906,28524.03906,1075821900,2358
2019/7/25,28575.49023,28628.50977,28517.00977,28594.30078,28594.30078,974264600,2359
2019/7/26,28406.07031,28487.64063,28338.30078,28397.74023,28397.74023,1320699900,2360
2019/7/29,28262.80078,28302.66016,27945.41016,28106.41016,28106.41016,1563572300,2361
2019/7/30,28059.82031,28274.65039,28059.82031,28146.5,28146.5,1147561000,2362
2019/7/31,27931.2793,27939.7207,27701.43945,27777.75,27777.75,1287084400,2363
2019/8/1,27582.21094,27754.03906,27495.89063,27565.69922,27565.69922,1736444000,2364
2019/8/2,26950.5293,27043.46094,26868.96094,26918.58008,26918.58008,2317609200,2365
2019/8/5,26480.4707,26502.60938,26086.85938,26151.32031,26151.32031,2120745300,2366
2019/8/6,25472.42969,26042.23047,25397.34961,25976.24023,25976.24023,2751867000,2367
2019/8/7,25977.7207,26025.43945,25738.80078,25997.0293,25997.0293,1671335000,2368
2019/8/8,25999.44922,26317.41992,25999.44922,26120.76953,26120.76953,1658129900,2369
2019/8/9,26278.91992,26313.7793,25939.30078,25939.30078,25939.30078,1357616900,2370
2019/8/12,25869.48047,26069.23047,25824.7207,25824.7207,25824.7207,1200393600,2371
2019/8/13,25536.61914,25616.71094,25270.91016,25281.30078,25281.30078,1979089800,2372
2019/8/14,25711.09961,25717.98047,25197.38086,25302.2793,25302.2793,1915522900,2373
2019/8/15,24945.74023,25552.13086,24899.92969,25495.46094,25495.46094,2145864600,2374
2019/8/16,25484.96094,25798.10938,25314.26953,25734.2207,25734.2207,2022477500,2375
2019/8/19,25994.80078,26356.2207,25994.80078,26291.83984,26291.83984,2144882700,2376
2019/8/20,26256.53906,26347.23047,26149.40039,26231.53906,26231.53906,1822936100,2377
2019/8/21,26160.53906,26318.13086,26075.91016,26270.03906,26270.03906,1701479200,2378
2019/8/22,26272.91016,26288.24023,25977.66992,26048.7207,26048.7207,1780728400,2379
2019/8/23,26057.88086,26241.2207,25940.43945,26179.33008,26179.33008,1621440900,2380
2019/8/26,25322,25692.2793,25249.50977,25680.33008,25680.33008,2475604900,2381
2019/8/27,25715.98047,25764.60938,25581.73047,25664.07031,25664.07031,2214167200,2382
2019/8/28,25767.08008,25830.64063,25596.08008,25615.48047,25615.48047,1462114400,2383
2019/8/29,25606.33008,25714.7793,25372.49023,25703.5,25703.5,1784869100,2384
2019/8/30,26011.64063,26011.64063,25536.15039,25724.73047,25724.73047,2017892000,2385
2019/9/2,25627.83008,25662.31055,25502.69922,25626.55078,25626.55078,1295066700,2386
2019/9/3,25546.32031,25736.05078,25498.10938,25527.84961,25527.84961,1149210200,2387
2019/9/4,25675.16016,26654.21094,25675.16016,26523.23047,26523.23047,2688524600,2388
2019/9/5,26512.85938,26697.84961,26283.11914,26515.5293,26515.5293,1996619100,2389
2019/9/6,26773.13086,26790.78906,26563.16992,26690.75977,26690.75977,1895344700,2390
2019/9/9,26743.35938,26807.85938,26609.65039,26681.40039,26681.40039,1700948300,2391
2019/9/10,26831.98047,26870.76953,26634.4707,26683.67969,26683.67969,1738020300,2392
2019/9/11,26790.64063,27159.50977,26705.63086,27159.06055,27159.06055,2072246200,2393
2019/9/12,27283.98047,27283.98047,26967.25,27087.63086,27087.63086,1337046900,2394
2019/9/13,27154.50977,27366.44922,27074.53906,27352.68945,27352.68945,1176496300,2395
2019/9/16,27212.89063,27212.89063,26976.30078,27124.55078,27124.55078,2189101500,2396
2019/9/17,26942.96094,26951.83984,26694.36914,26790.24023,26790.24023,1850715100,2397
2019/9/18,26838.42969,26891.16016,26730.63086,26754.11914,26754.11914,1372644100,2398
2019/9/19,26820.73047,26820.73047,26372.08984,26468.94922,26468.94922,1330417000,2399
2019/9/20,26532.88086,26564.35938,26410.41016,26435.66992,26435.66992,1972985800,2400
2019/9/23,26463.61914,26483.0293,26186.00977,26222.40039,26222.40039,1285452900,2401
2019/9/24,26300.21094,26391.98047,26207.26953,26281,26281,2089366000,2402
2019/9/25,26162.71094,26190.56055,25917.67969,25945.34961,25945.34961,1762622300,2403
2019/9/26,26075.15039,26099.64063,25917.58008,26041.92969,26041.92969,1700238600,2404
2019/9/27,25977.98047,26017.46094,25840.66016,25954.81055,25954.81055,984279500,2405
2019/9/30,25844.71094,26161.69922,25786.28906,26092.26953,26092.26953,1343934800,2406
2019/10/2,25901.4707,26092.61914,25778.2207,26042.68945,26042.68945,1202153800,2407
2019/10/3,25831.43945,26192.86914,25809.4707,26110.31055,26110.31055,1142351000,2408
2019/10/4,26169.50977,26169.50977,25612.49023,25821.0293,25821.0293,1137243700,2409
2019/10/8,25848.73047,26180.0293,25761.5,25893.40039,25893.40039,1779110400,2410
2019/10/9,25736.88086,25866.83984,25656.66016,25682.81055,25682.81055,1588334500,2411
2019/10/10,25625.57031,25809.58008,25521.94922,25707.92969,25707.92969,1434231600,2412
2019/10/11,25986.82031,26393.00977,25976.07031,26308.43945,26308.43945,2030977900,2413
2019/10/14,26520.92969,26636.92969,26386.41016,26521.84961,26521.84961,2096251800,2414
2019/10/15,26609.13086,26609.13086,26433.42969,26503.92969,26503.92969,1569211500,2415
2019/10/16,26553.90039,26698.56055,26432.42969,26664.2793,26664.2793,1689389100,2416
2019/10/17,26809.03906,26956.82031,26729.50977,26848.49023,26848.49023,1403839300,2417
2019/10/18,26910.55078,26985.08008,26650.13086,26719.58008,26719.58008,1541856100,2418
2019/10/21,26715.2207,26818.43945,26658.32031,26725.67969,26725.67969,1045151500,2419
2019/10/22,26813.81055,26844.28906,26698.30078,26786.19922,26786.19922,1496851400,2420
2019/10/23,26771.98047,26818.99023,26491.71094,26566.73047,26566.73047,1270778600,2421
2019/10/24,26651.0293,26810.42969,26592.17969,26797.94922,26797.94922,1496729000,2422
2019/10/25,26795.64063,26795.64063,26621.17969,26667.39063,26667.39063,1151226200,2423
2019/10/28,26770.10938,27005.67969,26762.69922,26891.25977,26891.25977,1476176200,2424
2019/10/29,27027.56055,27027.56055,26729.06055,26786.75977,26786.75977,1515348700,2425
2019/10/30,26766.98047,26809.5293,26602.94922,26667.71094,26667.71094,1554112000,2426
2019/10/31,26708.44922,27009.5,26708.44922,26906.7207,26906.7207,1907594000,2427
2019/11/1,26806.43945,27102.41992,26800.57031,27100.75977,27100.75977,1421451500,2428
2019/11/4,27299.88086,27547.30078,27299.46094,27547.30078,27547.30078,1777502800,2429
2019/11/5,27601.09961,27733.07031,27463.33008,27683.40039,27683.40039,1748633300,2430
2019/11/6,27636.33008,27750.91016,27547.76953,27688.64063,27688.64063,1316670900,2431
2019/11/7,27690.59961,27900.80078,27534.91016,27847.23047,27847.23047,1353594600,2432
2019/11/8,27894.56055,27894.56055,27582.28906,27651.14063,27651.14063,1491797400,2433
2019/11/11,27361.41016,27361.41016,26830.4707,26926.55078,26926.55078,1921659900,2434
2019/11/12,27064.25977,27076.66992,26794.60938,27065.2793,27065.2793,1149626200,2435
2019/11/13,26761.16016,26761.16016,26465.33008,26571.46094,26571.46094,1855002900,2436
2019/11/14,26444.23047,26605.96094,26203.9707,26323.68945,26323.68945,1554697800,2437
2019/11/15,26529.94922,26544.65039,26300.08008,26326.66016,26326.66016,1180282700,2438
2019/11/18,26442.39063,26702.16016,26406.34961,26681.08984,26681.08984,1425323100,2439
2019/11/19,26671.32031,27093.80078,26605.63086,27093.80078,27093.80078,1542578800,2440
2019/11/20,26936.78906,26962.16992,26804.34961,26889.60938,26889.60938,1333243700,2441
2019/11/21,26587.58984,26587.58984,26306.01953,26466.88086,26466.88086,1712162300,2442
2019/11/22,26584.88086,26690.16992,26487.66992,26595.08008,26595.08008,1100431900,2443
2019/11/25,26873.34961,27114.2207,26852.89063,26993.03906,26993.03906,1497175900,2444
2019/11/26,27183.90039,27227.86914,26913.91992,26913.91992,26913.91992,2416392100,2445
2019/11/27,26943.51953,26974.2793,26866.80078,26954,26954,1133748200,2446
2019/11/28,26763.63086,26991.80078,26763.63086,26893.73047,26893.73047,998841900,2447
2019/11/29,26705.38086,26705.38086,26308.09961,26346.49023,26346.49023,2004856800,2448
2019/12/2,26475.33984,26511.55078,26393.08984,26444.7207,26444.7207,1348911800,2449
